estrategia,mes_absoluto,anio,mes_calendario,fecha,ocupacion_asumida,ingreso_bruto,gastos,ingreso_neto,ingreso_neto_acumulado,balance_acumulado,roi_acumulado
1. Residencial anual,181,16,9,2041-09-01,0.95,912.0,212.92933958333333,699.0706604166667,126531.78953541667,-137592.71046458333,0.53175788836065
2. Estudiantil x habitacion,181,16,9,2041-09-01,0.95,833.625,207.83496458333332,625.7900354166667,97268.97766041667,-166855.52233958332,0.40877906140120474
3. Turistico (Airbnb/Booking),181,16,9,2041-09-01,0.6433012701892219,2841.5389065782156,1285.3193270313561,1556.2195795468597,259505.07925454687,-4619.420745453128,1.0905865906894174
4. Mixto (curso+verano),181,16,9,2041-09-01,0.95,833.625,207.83496458333332,625.7900354166667,141466.70054736958,-122657.79945263042,0.5945228012076889
1. Residencial anual,182,16,10,2041-10-01,0.95,912.0,212.92933958333333,699.0706604166667,127230.86019583333,-136893.63980416668,0.5346957772466204
2. Estudiantil x habitacion,182,16,10,2041-10-01,0.95,833.625,207.83496458333332,625.7900354166667,97894.76769583333,-166229.73230416665,0.4114089838026196
3. Turistico (Airbnb/Booking),182,16,10,2041-10-01,0.625,2760.7,1256.5383395833335,1504.1616604166666,261009.24091496354,-3115.259085036465,1.09690792567751
4. Mixto (curso+verano),182,16,10,2041-10-01,0.95,833.625,207.83496458333332,625.7900354166667,142092.49058278624,-122032.00941721376,0.5971527236091038
1. Residencial anual,183,16,11,2041-11-01,0.95,912.0,212.92933958333333,699.0706604166667,127929.93085625,-136194.56914375,0.5376336661325909
2. Estudiantil x habitacion,183,16,11,2041-11-01,0.95,833.625,207.83496458333332,625.7900354166667,98520.55773125,-165603.94226875,0.41403890620403444
3. Turistico (Airbnb/Booking),183,16,11,2041-11-01,0.6,2650.272,1217.2227795833332,1433.049220416667,262442.2901353802,-1682.2098646198283,1.1029304061163276
4. Mixto (curso+verano),183,16,11,2041-11-01,0.95,833.625,207.83496458333332,625.7900354166667,142718.2806182029,-121406.2193817971,0.5997826460105186
1. Residencial anual,184,16,12,2041-12-01,0.95,912.0,212.92933958333333,699.0706604166667,128629.00151666667,-135495.49848333333,0.5405715550185614
2. Estudiantil x habitacion,184,16,12,2041-12-01,0.95,833.625,207.83496458333332,625.7900354166667,99146.34776666667,-164978.15223333333,0.41666882860544935
3. Turistico (Airbnb/Booking),184,16,12,2041-12-01,0.575,2539.8439999999996,1177.9072195833332,1361.9367804166666,263804.22691579687,-320.27308420313057,1.1086540320058704
4. Mixto (curso+verano),184,16,12,2041-12-01,0.95,833.625,207.83496458333332,625.7900354166667,143344.07065361956,-120780.42934638044,0.6024125684119335
1. Residencial anual,185,16,1,2042-01-01,0.95,912.0,212.92933958333333,699.0706604166667,129328.07217708333,-134796.42782291665,0.5435094439045318
2. Estudiantil x habitacion,185,16,1,2042-01-01,0.95,833.625,207.83496458333332,625.7900354166667,99772.13780208334,-164352.36219791666,0.4192987510068642
3. Turistico (Airbnb/Booking),185,16,1,2042-01-01,0.5566987298107781,2459.005093421784,1149.1262321353106,1309.8788612864735,265114.1057770833,989.605777083314,1.1141588811812706
4. Mixto (curso+verano),185,16,1,2042-01-01,0.95,833.625,207.83496458333332,625.7900354166667,143969.86068903623,-120154.63931096377,0.6050424908133483
1. Residencial anual,186,16,2,2042-02-01,0.95,912.0,212.92933958333333,699.0706604166667,130027.1428375,-134097.3571625,0.5464473327905022
2. Estudiantil x habitacion,186,16,2,2042-02-01,0.95,833.625,207.83496458333332,625.7900354166667,100397.9278375,-163726.5721625,0.42192867340827905
3. Turistico (Airbnb/Booking),186,16,2,2042-02-01,0.5499999999999999,2429.4159999999997,1138.5916595833332,1290.8243404166667,266404.9301175,2280.4301175000146,1.1195836525215381
4. Mixto (curso+verano),186,16,2,2042-02-01,0.95,833.625,207.83496458333332,625.7900354166667,144595.6507244529,-119528.84927554711,0.6076724132147632
1. Residencial anual,187,16,3,2042-03-01,0.95,912.0,212.92933958333333,699.0706604166667,130726.21349791667,-133398.28650208333,0.5493852216764726
2. Estudiantil x habitacion,187,16,3,2042-03-01,0.95,833.625,207.83496458333332,625.7900354166667,101023.71787291666,-163100.78212708334,0.4245585958096939
3. Turistico (Airbnb/Booking),187,16,3,2042-03-01,0.5566987298107781,2459.005093421784,1149.1262321353106,1309.8788612864735,267714.80897878646,3590.308978786459,1.1250885016969383
4. Mixto (curso+verano),187,16,3,2042-03-01,0.95,833.625,207.83496458333332,625.7900354166667,145221.44075986955,-118903.05924013045,0.610302335616178
1. Residencial anual,188,16,4,2042-04-01,0.95,912.0,212.92933958333333,699.0706604166667,131425.28415833332,-132699.21584166668,0.552323110562443
