cod_municipio,cod_provincia,cp,direccion,dormit_totales,estudio,fecha_alta,habdoble,habindi,municipio,nombre,numplazasdoble,numplazasindi,plazas_totales,provincia,ref_catastral,rural,signatura,superficie,web
122,3,3690.0,"CL SAN JUAN, 24, Pl:03 Pt:IZ",2,N,19/01/2025,2.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 513809-A,4,0,4,ALICANTE/ALACANT,6926005YH1562N0008ZB,N,CV-VUT0513809-A,73.00,
122,3,3690.0,"CL TIBI, 4, Pl:02 Pt:IZ",3,N,04/07/2023,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 499821-A,2,2,4,ALICANTE/ALACANT,6527012YH1562N0011WB,N,CV-VUT0499821-A,93.00,
122,3,3690.0,"CL TORRES QUEVEDO, 18, Es:1 Pl:03 Pt:DR",3,N,30/09/2022,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 492515-A,6,0,6,ALICANTE/ALACANT,6526106YH1562N0009ZZ,N,CV-VUT0492515-A,87.00,
122,3,3690.0,"CL TRAFALGAR, 1, Pl:01 Pt:DR",3,N,08/03/2018,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 464462-A,2,2,4,ALICANTE/ALACANT,6232015YH1563S0002AH,N,CV-VUT0464462-A,86.00,
122,3,3690.0,"CL VALENCIA, 22, Pl:03 Pt:DR",3,N,12/06/2018,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 468242-A,2,2,4,ALICANTE/ALACANT,7026005YH1572N0008FQ,N,CV-VUT0468242-A,97.00,
122,3,3690.0,"CL VELAZQUEZ, 32, Pl:01 Pt:DR",3,N,29/11/2023,3.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 503543-A,6,0,6,ALICANTE/ALACANT,6427232YH1562N0002MF,N,CV-VUT0503543-A,95.00,
122,3,3690.0,"CL VELAZQUEZ, 33, Es:1 Pl:02 Pt:CN",4,N,07/05/2018,1.0,3.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 466335-A,2,3,5,ALICANTE/ALACANT,6526001YH1562N0016XW,N,CV-VUT0466335-A,135.00,
122,3,3690.0,"CL VELAZQUEZ, 45, Es:1 Pl:00 Pt:IZ",4,N,08/04/2025,1.0,3.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,2,3,5,ALICANTE/ALACANT,6526006YH1562N0002PF,N,CV-VUT0515786-A,103.00,
122,3,3690.0,"CL ZORRILLA, 10H, Pl:02 Pt:3",3,N,04/06/2019,1.0,2.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 476393-A,2,2,4,ALICANTE/ALACANT,6927401YH1562N0078OM,N,CV-VUT0476393-A,100.00,
122,3,3690.0,"CM COVES LES, 19, Es:T Pl:OD Pt:OS",5,N,16/10/2017,5.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 459215-A,10,0,10,ALICANTE/ALACANT,6653014YH1565S0001ZE,N,CV-VUT0459215-A,222.00,
122,3,3690.0,"CM MAHONES DEL, 20, Es:T Pl:OD Pt:OS",9,N,24/04/2025,9.0,0.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,,18,0,18,ALICANTE/ALACANT,8230004YH1583S0001MM,N,CV-VUT0516196-A,633.00,
122,3,3690.0,"CM MONTNEGRE, 19, Es:TO Pl:DO Pt:S",6,N,08/05/2024,5.0,1.0,SANT VICENT DEL RASPEIG/SAN VICENTE DEL RASPEIG,Vivienda 507848-A,10,1,11,ALICANTE/ALACANT,4171602YH1547S0001GY,N,CV-VUT0507848-A,424.00,
