fuente;fecha_captura;id_anuncio;precio_mes;habitaciones;m2;zona;planta;ascensor;banos;garaje;tipo_alquiler;texto_original;es_duplicado_cruzado
fotocasa;2026-08-24;;1050.0;3.0;92.0;Centro;;False;1.0;False;temporada;"190?GENERALIBANEZ | 1050 | Solo estudiantes; reformado";True
fotocasa;2026-08-24;;1150.0;3.0;100.0;Centro;2.0;True;2.0;False;anual/no_especificado;"190?CURAFRANCISCO | 1150 | Amueblado; ascensor; balcón; A/A; calefacción";False
idealista;2026-08-24;;900.0;3.0;90.0;Centro;3ª;True;;False;anual/no_especificado;"Piso Castellet | 900 | Solo estudiantes; cerca Facultad Educación";True
idealista;2026-08-24;;880.0;4.0;90.0;Centro;1ª;False;;False;anual/no_especificado;"Piso Calle Elche | 880 | Estudiantes; baño y aseo";True
idealista;2026-08-24;;900.0;3.0;85.0;Centro;1ª;False;;False;anual/no_especificado;"Piso Centro | 900 | Estudiantes; cerca universidad; suministros no incluidos";True
idealista;2026-08-24;;1350.0;3.0;170.0;Centro;Bajo;True;;False;anual/no_especificado;"Dúplex Calle Aeroplano, 5 | 1350 | Estudiantes; Villa Universitaria; piscina";True
idealista;2026-08-24;;1050.0;3.0;117.0;Centro;3ª;True;;False;anual/no_especificado;"Piso Calle Hernán Cortés, 3 | 1050 | Estudiantes; 2 baños";False
idealista;2026-08-24;;1200.0;4.0;120.0;Alcalde Felipe Mallol;Entreplanta;True;;False;anual/no_especificado;"Dúplex Portugal, 2 | 1200 | Solo julio/agosto; 4 habitaciones";True
idealista;2026-08-24;;1000.0;3.0;95.0;Centro;1ª;False;;False;anual/no_especificado;"Piso Poeta García Lorca, 20 | 1000 | Preferiblemente estudiantes; 10 min UA";True
idealista;2026-08-24;;960.0;3.0;95.0;Centro;3ª;False;;False;anual/no_especificado;"Piso Calle San Isidro, 10 | 960 | Estudiantes; completo o por habitaciones";True
idealista;2026-08-24;;1000.0;3.0;90.0;Centro;2ª;True;;False;anual/no_especificado;"Piso Calle Aviación, 13 | 1000 | Curso 26-27; 10 min UA";True
idealista;2026-08-24;;975.0;3.0;90.0;Centro;3ª;True;;False;anual/no_especificado;"Piso Centro | 975 | Estudiantes; Plaza Santa Faz";False
fotocasa;2026-08-24;;250.0;4.0;90.0;Centro;1.0;False;2.0;False;anual/no_especificado;190466156 | 250 | Habitaciones solo estudiantes;False
fotocasa;2026-08-24;;990.0;3.0;90.0;Centro;2.0;False;1.0;False;anual/no_especificado;"190505448 | 990 | Solo estudiantes; septiembre 2026-julio 2027";True
idealista;2026-08-24;;810.0;3.0;90.0;Centro;2ª;False;;False;anual/no_especificado;"Piso Torre Quevedo | 810 | Solo estudiantes; anuncio antiguo 2024-25";True
fotocasa;2026-08-24;;900.0;3.0;900.0;Centro;;False;2.0;False;anual/no_especificado;"190009165 | 900 | Solo estudiantes; junto Universidad";False
fotocasa;2026-08-24;;1050.0;3.0;92.0;Centro;;True;1.0;False;temporada;"190481876 | 1050 | Solo estudiantes; reformado";True
fotocasa;2026-08-24;;1000.0;4.0;90.0;Norte;2.0;False;2.0;False;anual/no_especificado;"190505611 | 1000 | Exclusivo estudiantes; balcón; A/A";True
fotocasa;2026-08-24;;800.0;4.0;109.0;Norte;3.0;False;2.0;False;temporada;"190442423 | 800 | Solo estudiantes; reformado";True
fotocasa;2026-08-24;;900.0;2.0;80.0;Norte;;False;1.0;False;temporada;190135008 | 900 | Reformado y amueblado;True
fotocasa;2026-08-24;;950.0;2.0;56.0;Centro;;False;1.0;False;anual/no_especificado;"190359871 | 950 | Amueblado; terraza";True
fotocasa;2026-08-24;;900.0;4.0;95.0;Centro;1.0;False;2.0;False;temporada;"190501040 | 900 | Solo chicas estudiantes; 15 min UA";True
fotocasa;2026-08-24;;340.0;4.0;110.0;Centro;5.0;True;2.0;False;anual/no_especificado;"190131831 | 340 | Solo estudiantes; 20 min UA; internet";False
fotocasa;2026-08-24;;1200.0;4.0;115.0;Centro;;True;2.0;False;temporada;"190482569 | 1200 | Dúplex junto UA; chicas estudiantes";True
fotocasa;2026-08-24;;810.0;3.0;120.0;Centro;1.0;False;2.0;False;anual/no_especificado;190426057 | 810 | Se alquilan habitaciones a 270 €/mes;False
fotocasa;2026-08-24;;1200.0;3.0;220.0;Centro;;True;2.0;True;anual/no_especificado;"190501594 | 1200 | Ático; 220 m²; piscina; garaje";False
fotocasa;2026-08-24;;900.0;3.0;85.0;Centro;;False;1.0;False;temporada;190160237 | 900 | Solo estudiantes;True
fotocasa;2026-08-24;;900.0;4.0;95.0;Centro;1.0;False;2.0;False;temporada;"190?TIBI | 900 | Solo chicas estudiantes; 15 min UA";True
fotocasa;2026-08-24;;1200.0;4.0;127.0;Centro;;True;2.0;False;temporada;"190321959 | 1200 | Solo estudiantes UA; 10 min UA";True
idealista;2026-08-24;;1500.0;5.0;100.0;Centro;3ª;False;;False;temporada;"Piso en Calle Bailén | 1500 | Habitaciones; estudiantes/empresas; temporada";True
fotocasa;2026-08-24;;1100.0;3.0;100.0;Parque Lo Torrent;3.0;True;2.0;False;anual/no_especificado;"Parque Lo Torrent | 1100 | Vivienda completa; sin indicación de estudiantes";False
idealista;2026-08-24;;1050.0;3.0;92.0;Centro;3ª;False;;False;temporada;"Piso en Calle Blasco Ibanez, 7 | 1050 | Reformado; estudiantes; temporada";True
idealista;2026-08-24;;1200.0;3.0;90.0;Centro;1ª;False;;False;anual/no_especificado;"Piso en Centro | 1200 | Estudiantes; suministros incluidos; cerca de Lo Torrent";True
idealista;2026-08-24;;1230.0;3.0;120.0;Centro;1ª;True;;False;temporada;"Piso en Centro | 1230 | Junto a Universidad; zona verde/peatonal; alquiler de temporada";False
