fuente;precio;habitaciones;m2;zona;tipo_vivienda;texto_original;precio_m2;es_duplicado_cruzado;es_outlier_lujo
fotocasa;264800.0;3;90.0;Parque Lo Torrent, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;264.800€ | Parque Lo Torrent, San Vicente del Raspeig / Sant Vicent del Raspeig | 3 habs·2 baños·90 m²·1ª Planta·Ascensor·Parking·Terraza·Aire acondicionado;2942.0;False;False
fotocasa;300000.0;3;116.0;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;300.000€ | Centro, San Vicente del Raspeig / Sant Vicent del Raspeig | 3 habs·2 baños·116 m²·6ª Planta·Ascensor·Parking·Calefacción·Aire acondicionado;2586.0;True;False
fotocasa;230000.0;3;110.0;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;230.000€ | Centro, San Vicente del Raspeig / Sant Vicent del Raspeig | 3 habs·2 baños·110 m²·5ª Planta·Ascensor·Calefacción·Aire acondicionado;2091.0;True;False
fotocasa;249000.0;4;104.0;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;249.000€ | Centro, San Vicente del Raspeig / Sant Vicent del Raspeig | 4 habs·2 baños·104 m²·1ª Planta·Ascensor·Aire acondicionado;2394.0;False;False
fotocasa;240000.0;4;125.0;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;240.000€ | Centro, San Vicente del Raspeig / Sant Vicent del Raspeig | 4 habs·1 baño·125 m²·1ª Planta·Terraza·Calefacción·Aire acondicionado;1920.0;True;False
fotocasa;318000.0;3;94.0;Parque Lo Torrent, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;318.000€ | Parque Lo Torrent, San Vicente del Raspeig / Sant Vicent del Raspeig | 3 habs·2 baños·94 m²·+15 planta·Ascensor·Parking·Terraza·Balcón;3383.0;True;False
fotocasa;420000.0;3;191.0;Parque Lo Torrent, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;420.000€ | Parque Lo Torrent, San Vicente del Raspeig / Sant Vicent del Raspeig | 3 habs·2 baños·191 m²·Parking·Terraza·Calefacción·Aire acondicionado·Trastero;2199.0;True;False
fotocasa;250000.0;3;100.0;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;250.000€ | Centro, San Vicente del Raspeig / Sant Vicent del Raspeig | 3 habs·2 baños·100 m²·+15 planta·Ascensor·Balcón;2500.0;True;False
fotocasa;312000.0;3;125.0;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;312.000€ | Centro, San Vicente del Raspeig / Sant Vicent del Raspeig | 3 habs·2 baños·125 m²·1ª Planta·Ascensor·Terraza·Aire acondicionado;2496.0;False;False
fotocasa;319900.0;4;130.0;Centro, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;319.900€ | Centro, San Vicente del Raspeig / Sant Vicent del Raspeig | 4 habs·2 baños·130 m²·1ª Planta·Ascensor·Parking·Terraza·Balcón;2461.0;True;False
fotocasa;498000.0;5;280.0;Villamontes - Boqueres, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;498.000€ | Villamontes - Boqueres, San Vicente del Raspeig / Sant Vicent del Raspeig | 5 habs·3 baños·280 m²·Parking·Terraza·Piscina·Aire acondicionado;1779.0;True;False
fotocasa;498000.0;5;280.0;Villamontes - Boqueres, San Vicente del Raspeig / Sant Vicent del Raspeig;piso;498.000€ | Villamontes - Boqueres, San Vicente del Raspeig / Sant Vicent del Raspeig | 5 habs·3 baños·280 m²·Parking·Terraza·Piscina·Aire acondicionado;1779.0;True;False
