id;mercado;tipo_oferta;fuente;fecha_captura;temporada;habitaciones;m2;banos;zona;tiene_precio;unidad_precio;precio_eur_mes;precio_eur_noche;precio_eur_venta;precio_por_m2;es_comparable_arquetipo;marca_calidad;descripcion
65;alquiler_residencial;temporada;fotocasa;2026-08-24;;3;92.0;1.0;Centro;True;EUR/mes;1050.0;;;11.41;False;;"Calle General Ibáñez, 31 | 1050 | Solo estudiantes; reformado"
66;alquiler_residencial;temporada;fotocasa;2026-08-24;;3;100.0;1.0;Centro;True;EUR/mes;900.0;;;9.0;False;;"Piso con terraza en Centro | 900 | Reformado; próximo bus/TRAM; biblioteca"
67;alquiler_residencial;temporada;fotocasa;2026-08-24;;4;127.0;2.0;Centro;True;EUR/mes;1200.0;;;9.45;False;;"Centro | 1200 | Solo estudiantes UA; 10 min UA"
68;alquiler_residencial;temporada;fotocasa;2026-08-24;;4;109.0;2.0;Norte;True;EUR/mes;800.0;;;7.34;False;;"Norte | 800 | Solo estudiantes; reformado"
69;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-24;;4;95.0;2.0;Centro;True;EUR/mes;1000.0;;;10.53;False;;"Centro | 1000 | Vivienda completa; sin indicación de estudiantes"
70;alquiler_residencial;temporada;fotocasa;2026-08-24;;3;110.0;1.0;Centro;True;EUR/mes;825.0;;;7.5;False;;190?HUERTA | 825 | Solo estudiantes 2026/27
71;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-24;;3;100.0;2.0;Centro;True;EUR/mes;1150.0;;;11.5;True;;"190?CURAFRANCISCO | 1150 | Amueblado; ascensor; balcón; A/A; calefacción"
72;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;4;90.0;;Centro;True;EUR/mes;880.0;;;9.78;False;;"Piso Calle Elche | 880 | Estudiantes; baño y aseo"
73;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;170.0;;Centro;True;EUR/mes;1350.0;;;7.94;False;;"Dúplex Calle Aeroplano, 5 | 1350 | Estudiantes; Villa Universitaria; piscina"
74;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;117.0;;Centro;True;EUR/mes;1050.0;;;8.97;True;;"Piso Calle Hernán Cortés, 3 | 1050 | Estudiantes; 2 baños"
75;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;95.0;;Centro;True;EUR/mes;960.0;;;10.11;True;;"Piso Calle San Isidro, 10 | 960 | Estudiantes; completo o por habitaciones"
76;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;90.0;;Centro;True;EUR/mes;975.0;;;10.83;True;;"Piso Centro | 975 | Estudiantes; Plaza Santa Faz"
77;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-24;;4;90.0;2.0;Centro;True;EUR/mes;250.0;;;2.78;False;m2_sospechoso;190466156 | 250 | Habitaciones solo estudiantes
78;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;90.0;;Centro;True;EUR/mes;810.0;;;9.0;True;;"Piso Torre Quevedo | 810 | Solo estudiantes; anuncio antiguo 2024-25"
79;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-24;;3;900.0;2.0;Centro;True;EUR/mes;900.0;;;1.0;False;m2_sospechoso;"190009165 | 900 | Solo estudiantes; junto Universidad"
80;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-24;;4;110.0;2.0;Centro;True;EUR/mes;340.0;;;3.09;False;;"190131831 | 340 | Solo estudiantes; 20 min UA; internet"
81;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-24;;3;120.0;2.0;Centro;True;EUR/mes;810.0;;;6.75;True;;190426057 | 810 | Se alquilan habitaciones a 270 €/mes
82;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-24;;3;220.0;2.0;Centro;True;EUR/mes;1200.0;;;5.45;False;;"190501594 | 1200 | Ático; 220 m²; piscina; garaje"
83;alquiler_residencial;temporada;idealista;2026-08-24;;5;100.0;;Centro;True;EUR/mes;1500.0;;;15.0;False;;"Piso en Calle Bailén | 1500 | Habitaciones; estudiantes/empresas; temporada"
84;alquiler_residencial;anual/no_especificado;fotocasa;2026-08-24;;3;100.0;2.0;Parque Lo Torrent;True;EUR/mes;1100.0;;;11.0;True;;"Parque Lo Torrent | 1100 | Vivienda completa; sin indicación de estudiantes"
85;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;4;100.0;;Centro;True;EUR/mes;1000.0;;;10.0;False;;"Piso en Echegaray | 1000 | Estudiantes; terraza; 1 baño + aseo"
86;alquiler_residencial;temporada;idealista;2026-08-24;;3;120.0;;Centro;True;EUR/mes;1230.0;;;10.25;False;;"Piso en Centro | 1230 | Junto a Universidad; zona verde/peatonal; alquiler de temporada"
87;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;4;125.0;;Centro;True;EUR/mes;1260.0;;;10.08;False;;"Piso en Calle Alicante | 1260 | 200 m de la UA; equipado para estudiantes"
88;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;3;95.0;;Centro;True;EUR/mes;1050.0;;;11.05;True;;"Piso en Calle Jorge Juan, 26 | 1050 | Reformado; 2 baños; exterior"
89;alquiler_residencial;temporada;idealista;2026-08-24;;4;134.0;;Centro;True;EUR/mes;1300.0;;;9.7;False;;"Piso en Dr Trueta | 1300 | Exclusivo estudiantes UA; temporada"
90;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;2;80.0;;Centro;True;EUR/mes;950.0;;;11.88;False;;"Piso en Centro | 950 | Lo Torrent; suministros no incluidos"
91;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;4;85.0;;Centro;True;EUR/mes;1200.0;;;14.12;False;;"Piso en Calle San Juan | 1200 | Alquiler temporal; disponible octubre"
92;alquiler_residencial;temporada;idealista;2026-08-24;;3;117.0;;Alcalde Felipe Mallol;True;EUR/mes;960.0;;;8.21;False;;"Piso en Calle Las Navas, 12 | 960 | Reformado; 90 m² útiles; temporada"
93;alquiler_residencial;temporada;idealista;2026-08-24;;2;68.0;;Haygon - Universidad;True;EUR/mes;795.0;;;11.69;False;;"Piso en Colonia Santa Isabel | 795 | Temporada 11 meses; reformado"
94;alquiler_residencial;anual/no_especificado;idealista;2026-08-24;;4;152.0;;Centro;True;EUR/mes;1100.0;;;7.24;False;;"Dúplex en Portugal | 1100 | Garaje incluido; estudiantes UA; 5 min UA"
95;alquiler_residencial;temporada;idealista;2026-08-24;;4;120.0;;Centro;True;EUR/mes;1100.0;;;9.17;False;;"Piso en Calle Alicante, 56 | 1100 | Estudiantes; 5 min andando UA; temporada"
